Hospital,Tender Reference,Subject,Tendering Procedure,Contractor(s) & Address(es),Item,Contract Period,Estimated Contract Amount,Date of Award
Hospital Authority Head Office,DSQ24-003,Supply of Sotorasib Tablet 120mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,8 August 2024  -7 August 2026,HKD2.63Mn,1-August-2024
Hospital Authority Head Office,DSQ24-017,Supply of Acyclovir (Sodium) Injection 250mg,Limited  (Extreme urgency requirement to meet operational need),"GlaxoSmithKline Limited  23/F, Tower 6, The Gateway  9 Canton Road  Tsim Sha Tsui, Kowloon",-,25 November 2024  -24 May2025,HKD4.90Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D174,Supply of Simvastatin Tablet 20mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",Half Quantity (a),1 January 2025 - 31 December 2027,HKD16.65Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D174,Supply of Simvastatin Tablet 20mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",Half Quantity (b),1 April 2025 - 31 March 2028,HKD18.00Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D204,Supply of Salbutamol Inhaler,Limited  (Extreme urgency requirement to meet operational need),"GlaxoSmithKline Limited  23/F, Tower 6, The Gateway,  9 Canton Road, Tsim Sha Tsui,  Kowloon, Hong Kong",-,12 April 2025 - 11 April 2027,HKD40.80Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D241,Supply of Omalizumab Injection 150mg,Limited  (Absence of competition for technical reasons),"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,5 August 2024 - 4 August 2027,HKD34.71Mn,1-August-2024
Hospital Authority Head Office,DST24-002,Supply of Urokinase Injection 60000 U,Open,"Sunny Plaza Limited Rm 704, 7/F, Kwai Hung Centre, 89 King’s Road, North Point, Hong Kong",-,29 December 2024 - 28 September 2025,HKD4.65Mn,1-August-2024
Hospital Authority Head Office,DSQ24-026,Supply of Tenecteplase Injection 10000U,Limited  (Extreme urgency requirement to meet operational need),"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,5 August 2024 - 4 August 2026,HKD10.69Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D211,Supply of Addaven Injection,Open,"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,15 December 2024  - 14 December 2027,HKD7.92Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D213,Supply of Hepatitis B Vaccines,Open,"GlaxoSmithKline Limited  23/F, Tower 6, The Gateway,  9 Canton Road, Tsim Sha Tsui,  Kowloon, Hong Kong",-,31 October 2024  - 30 October 2027,HKD15.44Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D215,Supply of SmofKabiven Infusions and Smoflipid Infusion,Open,"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,19 November 2024  - 18 November 2027,HKD52.15Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/24-D083,Supply of Intravenous Infusion Fluids,Limited  (Extreme urgency requirement to meet operational need),"DKSH Hong Kong Limited  23/F, Tower A, Southmark,  11 Yip Hing Street,  Wong Chuk Hang, Hong Kong",-,28 September 2024  - 27 September 2025,HKD31.57Mn,1-August-2024
Hospital Authority Head Office,DSQ23-199,Supply of Cinacalcet (HCl) Tablet 25mg,Limited  (Extreme urgency requirement to meet operational need),"DCH Auriga (Hong Kong) Limited-Healthcare Division  11/F, Wyler Centre 1,  202-210 Tai Lin Pai Road,  Kwai Chung, Hong Kong",-,10 August 2024  - 9 August 2025,HKD43.70Mn,1-August-2024
Hospital Authority Head Office,DSQ23-200,Supply of Galsulfase Infusion 1mg/ml 5ml,Limited  (Extreme urgency requirement to meet operational need),"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,22 January 2025  - 21 January 2027,HKD20.43Mn,1-August-2024
Hospital Authority Head Office,DSQ23-221,Supply of Oral Rehydration Salts New Formula Powder,Limited  (Extreme urgency requirement to meet operational need),"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,1 December 2024  - 30 November 2026,HKD2.54Mn,1-August-2024
Hospital Authority Head Office,DSQ24-014,Supply of Diphtheria Tetanus (Adsorbed) Adult (Imovax D.T.)  Vaccine 0.5ml,Limited  (Extreme urgency requirement to meet operational need),"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,29 December 2024  - 28 December 2025,HKD10.88Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D034,Supply of Clobazam Tablet 10mg,Limited  (Absence of competition for technical reasons),"DCH Auriga (Hong Kong) Limited - Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,9 January 2025  - 8 January 2028,HKD5.83Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D067,Supply of Metformin Hydrochloride Prolonged Release Tablet  1000mg,Open,"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,22 September 2024  - 21 September 2027,HKD12.28Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D143,Supply of Haloperidol Tablets,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place,  25 Westlands Road,  Quarry Bay, Hong Kong",-,3 November 2024  - 2 November 2027,HK3.55Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D144,Supply of Lithium Carbonate Tablets,Open,"Hind Wing Company Limited  Unit 1103B, 11/F., Block B, Seaview Estate  2-8 Watson Road North Point, Hong Kong",-,Item 1:  1 October 2024  - 30 September 2027  Item 2:  25 March 2025  - 24 March 2028,HKD58.70Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D184,Supply of Phenobarbitone Tablets,Limited  (Absence of competition for technical reasons),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place,  25 Westlands Road,  Quarry Bay, Hong Kong",-,25 October 2024  - 24 October 2027,HKD5.67Mn,1-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D231,Supply of Tamsulosin Hydrochloride Prolonged Release Tablet  0.4mg,Limited  (Extreme urgency requirement to meet operational need),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,23 August 2024  -22 August 2025,HKD15.17Mn,1-August-2024
Hospital Authority Head Office,DSQ23-238,Supply of Radium-223 Dichloride Injection 1.1MBq/ml 6ml,Limited  (Purchase of products under patents or copyrights coverage),"Global Medical Solutions Hong Kong Ltd.  Unit 11-12, 18/F, Wai Wah Centre  38 - 40 Au Pui Wan Street  Fotan, Shatin, N.T. Hong Kong",-,1 November 2024  - 31 October 2026,HKD4.40Mn,1-August-2024
Hong Kong West Cluster,HKWC-T030/23(F),"Supply and Installation of Analyzers, Laboratory, Mass  Spectrometry, Microorganism Identification for Queen Mary Hospital, Hong Kong  West Cluster, Hospital Authority",Open,"Becton Dickinson Asia Limited  Unit 604, 6/F, Centre Parc,  11 Sheung Yuet Road,  Kowloon, Hong Kong.",-,One-off,HKD 2.20Mn,5-August-2024
Hospital Authority Head Office,DSQ23-217,Supply of Onasemnogene Abeparvovec Infusion 2x10^13vg/ml,Limited  (Purchase of products under patents or copyrights coverage),"Novartis Pharmaceuticals (HK) Limited  7/F, Citi Tower, One Bay East, 83 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong",-,15 August 2024 - 14 August 2026,HKD128.70Mn,8-August-2024
Hospital Authority Head Office,HAHO(S)/T/24-S004,Provision of Faster Payment System (FPS) Service,Open,"Bank of China (Hong Kong) Limited  14/F, Bank of China Tower, 1 Garden Road, Central, Hong Kong",-,1 February 2025  - 31 January 2027,HKD0Mn,13-August-2024
Kowloon Central Cluster,KCC/T/H7/126/23/BTS,"Supply and Installation of Freezers, Blood Bank, Plasma for Hong  Kong Red Cross Blood Transfusion Service, Kowloon Central Cluster, Hospital  Authority",Open,"Associated Medical Supplies Company Limited  Room 1201-1202, 12/F,  Fo Tan Industrial Centre, 26-28 Au Pui Wan Street,  Fotan, Sha Tin, New Territories, Hong Kong",-,With effect from the  date of Letter of Acceptance to fulfilment of contract obligations,HKD2.50Mn,13-August-2024
Kowloon West Cluster,KWC/A/113-23,"Provision of Primary Mental Health Service by Care Managers  under the Integrated Mental Health Programme for General Out-patient Clinics,  Kowloon West Cluster, Hospital Authority",Open,"New Life Psychiatric Rehabilitation Association  332 Nam Cheong Street, Sham Shui Po, Kowloon",-,4 October 2024 - 3 October 2027,HKD7.78Mn,15-August-2024
Kowloon Central Cluster,KCC/T/H15/139/23/HKE,"Supply and Installation of Video Conferencing System and  Provision of Maintenance Servcies for Hong Kong Eye Hospital, Kowloon Central  Cluster, Hospital Authority",Open,"China Mobile Hong Kong Company Limited  Level 12, 19-22, Kowloon Commerce Centre, 51 Kwai Cheong Road, Kwai Chung, New Territories",-,With effect from the date of Letter of Acceptance to fulfillment  of contractual obligation,HKD1.04Mn,15-August-2024
Kowloon West Cluster,KWC/B/002-24,"Supply and Installation of Telephone Systems for Princess  Margaret Hospital and Lai King Building, Kowloon West Cluster, Hospital  Authority",Open,"ST ENGINEERING INFA SYSTEMS LIMITED  17/F, 169 ELECTRIC ROAD,  NORTH POINT,  HONG KONG",-,With effect from the date of Letter of Acceptance to the  fulfillment of contractual obligations,HKD33.56Mn,15-August-2024
Kowloon Central Cluster,KCC/T/FF/034/23/OLM,"Supply and Installation of Densitometers, Bone, X-Ray,  Dual-Energy Absorptiometry and Provision of Maintenance Services for Our Lady  of Maryknoll Hospital, Kowloon Central Cluster, Hospital Authority",Open,"Prism Technologies Limited  Unit 604, 6/F, Yee Kuk Ind Ctr, 555 Yee Kuk St, Cheung Sha Wan, Kowloon",-,With effect from the date of acceptance to the fulfilment of  contractual obligations,USD0.34Mn,15-August-2024
Kowloon Central Cluster,KCC/T/H10/110/23/KH,"Supply and Installation of Milling/Drilling Machines,  Orthopedic, Computer-Aided, Spinal Orthosis/Prosthesis/Seat Cus for Kowloon  Hospital, Kowloon Central Cluster  Hospital Authority",Open,"Otto Bock Asia Pacific Limited Unit 301, 3/F, Tower A, Cheung Kei Center  18 Hung Luen Road, Hung Hom  Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to fulfilment  of contract obligations,HKD4.35Mn,16-August-2024
Kowloon Central Cluster,KCC/T/FF/014/23/OLM,"Supply and Installation of Radiographic Equipment, Fluoroscopic  for Our Lady of Maryknoll Hospital, Kowloon Central Cluster, Hospital  Authority",Open,"Siemens Healthcare Limited  Units 901-902 & 908b, 9/F, Tower B, Manulife Financial Ctr, 223-231 Wai  Yip St, Kwun Tong, Kowloon",-,With effect from the date of acceptance to the fulfilment of  contractual obligations,HKD11.81Mn,16-August-2024
Kowloon Central Cluster,KCC/T/FF/013/23/OLM,"Supply and Installation of Radiographic Scanning System,  Computed Tomography and Provision of Maintenance Services for Our Lady of  Maryknoll Hospital, Kowloon Central Cluster, Hospital Authority",Open,"United Imaging Healthcare Hong Kong Limited Flat 9B, Cheong Tai Commercial Building, 66 Wing Lok Street, Sheung Wan,  Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD10.16Mn,16-August-2024
New Territories East Cluster,NTEC/P&MM/T3/2324-T9,"Provision of Dishwashing and Cleaning Services for Catering  Department at North District Hospital, New Territories East Cluster, Hospital  Authority",Open,"Dusservice Health Care (HK) Ltd  6/F, Por Yen Building, 478 Castle Peak Road, Cheung Sha Wan, Kowloon, Hong  Kong",,1 October 2024 - 31 March 2025,HKD1.29Mn,16-August-2024
Hong Kong West Cluster,HKWC-T040/22(D2),"Provision of Gardening and Landscape Maintenance Services for  Hong Kong West Cluster, Hospital Authority",Open,"Chinese Greening HK Limited  Room 406, 4/F, Hi Yip Factory Building, 2 Hi Yip Street, Yuen Long, N.T.",Group A & B,1 September 2024 - 31 August 2027,HKD4.62Mn,16-August-2024
New Territories East Cluster,NTEC/P&MM/T3/2324-T5,"Provision of Transportation, Collection and Delivery Services  for Goods for New Territories East Cluster, Hospital Authority",Open,"Partners Company  Flat A, 12/F, Block 2, Melody Garden, Tuen Mun, N.T., Hong Kong",,15 September 2024 - 14 September 2027,HKD3.71Mn,19-August-2024
Hong Kong West Cluster,HKWC-T027/22(P-GH),"Supply and Installation of Radiographic Systems, Digital,  Mammographic for Redevelopment of Grantham Hospital (Phase 1), Hong Kong West Cluster, Hospital Authority",Open,"Prism Technologies Limited  Unit 604, 6/F  Yee Kuk Industrial Centre  55 Yee Kuk Street  Cheung Sha Wan, Kowloon,  Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,USD0.94Mn,20-August-2024
Hong Kong West Cluster,HKWC-T005/21(P-QMH),Supplv and Installation of Access Control System for  Redevelopment Project of Queen Mary Hospital,Open,"ATAL Building Services Engineering Limited  13/F, Island Place Tower, 510 King's Road, North Point, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD4.48Mn,20-August-2024
Hong Kong West Cluster,HKWC-T020/22(P-GH),"Supply and Installation of Monitors, Physiologic, Multipurpose,  Bedside for Redevelopment of Grantham Hospital (Phase 1), Hong Kong West  Cluster, Hospital Authority",Open,"Prime Priority Technology Limited  Unit 2, 3/F, Yen Sheng Centre,  64 Hoi Yuen Road, Kwun Tong,  Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD10.82Mn,21-August-2024
Kowloon West Cluster,KWC/A/010-24,"Supply of Disposable Repositionable Hemostasis Clipping Device  for Kowloon West Cluster, Hospital Authority",Open,"Rico Medical (Hong Kong) Limited  Unit L, 6F, High Win Industrial Building, 49 Hoi Yuen Road, Kwun Tong,  Kowloon, Hong Kong",-,26 August 2024 - 25 August 2026,HKD0.68Mn,21-August-2024
Kowloon Central Cluster,KCC/T/H14/015/23/OLM,"Supply and Installation of Lights, Surgical for Operation  Theatre of Our Lady of Maryknoll Hospital, Kowloon Central Cluster, Hospital  Authority",Open,"Medi-Care Medical Supplies Co., Limited  Room 1805-06, 18/F, Billion Trade Ctr.  31 Hung To Road, Kwun Tong, Kowloon  Hong Kong",-,With effect from the date of acceptance to the fulfilment of  contractual obligations,HKD1.50Mn,21-August-2024
Hong Kong West Cluster,HKWC-T032/23(D2),"Provision of Body Transportation Service for QMH, HKWC, HA",Open,"Hop Fook Funeral Services Limited  G/F, 13 Tsui Fung Street, Wong Tai Sin, Kowloon",-,24 months from 21 Nov 2024 to 20 Nov 2026,HKD3.982Mn,22-August-2024
Hong Kong West Cluster,HKWC-T046/22(B),"Supply and Installation of Waste Water Treatment System for Shum  Wan Laundry, Hong Kong West Cluster, Hospital Authority",Open,"Mechforte Engineering (HK) Limited, Rm 2, Blk A, 16/F, Vigor Ind  Bldg, 14-20 Cheung Tat Rd, Tsing Yi, New Territories, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD4.25Mn,21-August-2024
Kowloon West Cluster,KWC/A/128-23,"Provision of Laundry Service for General Out-patient Clinics and  Community Nursing Service Centre, Kowloon West Cluster, Hospital  Authority",Open,"Sunshine Laundry Factory Company Limited  5/F, Blk A, Lee Sum Factory Bldg, 23 Sze Mei Street, San Po Kong, Kowloon",-,1 September 2024 - 31 August 2027,HKD3.67Mn,26-August-2024
Kowloon West Cluster,KWC/A/020-24,"Provision of Security Service for General Out-patient Clinics,  Kowloon West Cluster, Hospital Authority",Open,"Synergis Facility Management Limited  4/F & 8/F, KT 336, 334 -336 Kwun Tong Rd, Kwun Tong, Kowloon",-,1 October 2024 - 31 March 2026,HKD2.48Mn,26-August-2024
Kowloon West Cluster,KWC/A/067-23,"Supply of Sterile Transparent Adhesive Dressing for Kowloon West  Cluster, Hospital Authority",Open,"3M Hong Kong Limited  38/F, Manhattan Place, 23 Wang Tai Road, Kowloon Bay, Kowloon, Hong Kong",-,6 September 2024 - 5 September 2026,HKD3.64Mn,26-August-2024
Kowloon West Cluster,KWC/A/015-24,"Supply of Disposable Vented Intravenous Administration Set for  Kowloon West Cluster, Hospital Authority",Open,"DKSH Hong Kong Limited  23/F, Tower A, Southmark, 11 Yip Hing Street, Wong Chuk Hang, Hong Kong",-,1 September 2024 - 31 August 2026,HKD2.83Mn,26-August-2024
Kowloon West Cluster,KWC/M/007-24,"Supply and Installation of Tunnel Finisher, Laundry for Caritas  Medical Centre, Kowloon West Cluster, Hospital Authority",Open,"ATAL ENGINEERING LIMITED  13/F, Island Place Tower, 510 King’s Road, North Point, Hong Kong",-,"(i) Equipment: With effect from the date of Letter of Acceptance  to fulfillment of contractual obligations  (ii) Post-Warranty Maintenance Service: 9 years, commencing from the expiry  of warranty period.",HKD4.25Mn,26-August-2024
Kowloon West Cluster,KWC/P/007-24,"Provision of Tenancy of Off-site Store for Princess Margaret  Hospital, Kowloon West Cluster, Hospital Authority",Open,"Richmind Properties Limited  1/F, Mei Kei Industrial Building, 30-40 Wing Lap Street, Kwai Chung, NT",-,1 October 2024  - 30 September 2025,HKD2.50Mn,26-August-2024
Hong Kong West Cluster,HKWC-T010/23(B),"Supply and Installation of Cabinet, Storage, Movable  for Hong Kong West Cluster, Hospital Authority",Open,"Maxwin & Honwell Limited  Blk D, 8/F, Victorious Factory Bldg., 35 Tseuk Luk St., San Po Kong,  Kowloon",-,26 August 2024 - 25 August 2026,HKD2.12Mn,26-August-2024
Kowloon West Cluster,KWC/A/117-23,"Supply of Basic Surgical Drape for Kowloon West Cluster,  Hospital Authority",Open,"A R Medicom Incorporated Asia Limited  Room 11, 11/F, Kodak House II,  39 Healthy Street East,  North Point, Hong Kong",-,1 October 2024 - 30 September 2027,HKD4.48Mn,26-August-2024
Kowloon West Cluster,KWC/A/022-24,"Supply and Delivery of Draw Sheet for Kowloon West Cluster,  Hospital Authority",Open,"Full Double Rich Limited  Rm B, 7/F, Chun Wo Comm Ctr,  25 Wing Wo Street,  Central, HK",-,1 September 2024  - 31 August 2025,HKD1.54Mn,26-August-2024
Kowloon West Cluster,KWC/A/018-24,"Supply and Installation of Automation Systems, Medication  Dispensing for Caritas Medical Centre and North Lantau Hospital, Kowloon West  Cluster, Hospital Authority",Open,"Yuyama Pharmaceutical Equipment (Hong Kong) Limited  Unit 901 & 930, 9/F, Block A, Hoi Luen Industrial Centre, 55 Hoi Yuen  Road, Kwun Tong, Kowloon",-,"(i) Equipment: 26 August 2024 - 25 August 2026  (ii) Post-Warranty Maintenance Service: 3 years, commencing from the expiry  of warranty period.",HKD4.16Mn,26-August-2024
Kowloon West Cluster,KWC/P/040-24,"Supply and Installation of Facility Booms, Ceiling-mounted for  Princess Margaret Hospital, Kowloon West Cluster, Hospital Authority",Open,"DRAEGER HONG KONG LIMITED  RM 01-02, 17/F, APEC PLAZA  49 HOI YUEN ROAD  KWUN TONG, KLN",-,26 August 2024  - 25 August 2026,HKD3.92Mn,26-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-G068,Supply of Glass Containers for Laboratory Specimens for Hospital  Authority,Open,"Tin Hang Technology Limited  Units 1904-1906, 19/F., No. 340 Queen’s Road Central, Hong Kong",-,1 October 2024 - 30 September 2027,HKD4.58Mn,27-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-G020,Supply of Defibrinated Horse Blood for Hospital Authority,Open,"Grandtech Scientific Hong Kong Limited  Unit 12, 20/F, Grandtech Center, 8 On Ping Street, Shatin, New Territories,  Hong Kong",-,1 December 2024  - 30 November 2027,HKD3.16Mn,27-August-2024
Kowloon West Cluster,KWC/Y/024-24,"Tender for the Provision of Virtual Rehabilitation Shop Service  for Yan Chai Hospital, Kowloon West Cluster, Hospital Authority",Open,"MentalCare Connect Company Limited Room 1206, 12/F, Houtex Industrial Building, 16 Hung To Road, Kwun Tong,  Kowloon",-,16 September 2024 - 15 September 2025,HKD0.0036Mn,28-August-2024
Hospital Authority Head Office,HAHO(S)/T/22-D215,Supply of Bosentan Tablet 125mg,Open,"Hind Wing Company Limited  Unit 1103B, 11/F., Block B, Seaview Estate  2-8 Watson Road  North Point, Hong Kong",-,7 February 2025 - 6 February 2028,HKD1.35Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/22-D251,Supply of Noradrenaline Acid Tartrate/ Norepinephrine Bitartrate  Injection 4mg,Open,"Hong Kong Medical Supplies Limited  7/F, China Aerospace Centre,  143 Hoi Bun Road,  Kwun Tong, Kowloon, Hong Kong",-,10 May 2025 - 9 May 2028,HKD5.24Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D044,Supply of Ephedrine Sulphate Injection 30mg,Open,"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,9 January 2025 - 8 January 2028,HKD15.44Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D137,Supply of Colchicine Tablet 0.5mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place  25 Westlands Road  Quarry Bay, Hong Kong",-,7 March 2025 - 6 March 2028,HKD6.09Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D222,Supply of Mesalazine Prolonged Release Tablet 1g,Open,"DCH Auriga (Hong Kong) Limited - Universal Division  Area B, 11/F, Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, New Territories",-,28 March 2025 - 27 March 2028,HKD37.68Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/24-D029,Supply of Vedolizumab Infusion 300mg,Limited  (Absence of competition for technical reasons),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place  25 Westlands Road  Quarry Bay, Hong Kong",-,18 November 2024 - 17 November 2027,HKD29.70Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/24-D030,Supply of Budesonide and Formoterol Fumarate Dihydrate Powder  Inhalers,Limited  (Extreme urgency requirement to meet operational need),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place  25 Westlands Road  Quarry Bay, Hong Kong",-,19 November 2024 - 18 November 2026,HKD44.33Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/24-D039,Supply of Selexipag Tablets,Open,"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,30 September 2024 - 29 September 2027,HKD66.63Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/24-D043,Supply of Indacaterol Maleate and Glycopyrronium Bromide  Inhalation Capsule 110mcg/50mcg,Limited  (Purchase of products under patents or copyrights coverage),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,10 December 2024 - 9 December 2027,HKD25.15Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/21-D165,Supply of Imipenem and Cilastatin for Injection,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place  25 Westlands Road  Quarry Bay, Hong Kong",-,18 May 2025  - 17 May 2028,HKD2.09Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/22-D194,Supply of Conjugated Oestrogens Tablets,Open,"DCH Auriga (Hong Kong) Limited - Healthcare Division  11/F, Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, New Territories",-,27 November 2024  - 26 November 2027,HKD3.78Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D021,Supply of Chlorhexidine Gluconate 2% in 70% Alcohol Swabstick,Open,"3M Hong Kong Limited  38/F, Manhattan Place  23 Wang Tai Road  Kowloon Bay, Kowloon",-,7 December 2024  - 6 November 2027,HKD6.70Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D110,Supply of Pentamidine Isetionate Injection 300mg,Open,"DCH Auriga (Hong Kong) Limited - Healthcare Division  11/F, Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, New Territories",-,1 May 2025  - 30 April 2028,HKD7.64Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D208,Supply of Carbimazole Tablet 5mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place  25 Westlands Road  Quarry Bay, Hong Kong",-,27 June 2025  - 26 June 2028,HKD18.02Mn,29-August-2024
Hospital Authority Head Office,DST24-005,Supply of Neomycin Sulphate Cream 0.5% 15g,Open,"Christo Pharmaceuticals Limited  Block C, 14/F, Phase 2  Superluck Ind Ctr, 57 Sha Tsui Road  Tsuen Wan, New Territories",-,22 September 2024  - 21 September 2025,HKD1.60Mn,29-August-2024
Hospital Authority Head Office,DSQ24-024,Supply of Rapicide PA (or equiv.) Part A + Part B Disinfectant  Solution 5L + 5L,Limited  (Extreme urgency requirement to meet operational need),"Steris Hong Kong Limited A8-A9, 10/F, NCB Innovation Centre  888 Lai Chi Kok Road  Kowloon, Hong Kong",-,26 August 2024  - 25 August 2025,HKD$2.21Mn,23-August-2024
Hospital Authority Head Office,DQ24-161,Supply of Emulsifying Ointment 250g,Limited  (Extreme urgency requirement to meet operational need),"Pharmason Company Limited  Flat A, B and C1, 16/F Ever Gain Centre, 28 On Muk Street  Sha Tin, New Territories",-,25 October 2024  - 24 April 2025,HKD2.07Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/22-D239,Supply of Sodium Chloride 0.9% Flush Syringes,Open,"Zuellig Pharma Limited  5/F, Berkshire House,  Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,14 November 2024  - 13 November 2027,HKD7.74Mn,29-August-2024
Hospital Authority Head Office,HAHO(S)/T/23-D214,Supply of Phosphate (Sodium) Solutions,Open,"Pharmason Company Limited  16/F, Ever Gain Center, 28 On Muk Street, Shatin, New Territories, Hong Kong",-,4 October 2024  - 3 October 2027,HKD27.42Mn,29-August-2024
Hospital  Authority Head Office,HAHO(S)/T/20-D212,Supply of Gemcitabine  Hydrochloride Injection 1g,Open,"Zuellig Pharma  Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,5 June 2025  - 4 June 2028,HKD7.34Mn,29-August-2024
Hospital  Authority Head Office,HAHO(S)/T/22-D138,Supply of Clofarabine  Infusion 20mg,Open,"Zuellig Pharma  Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,8 May 2025  - 7 May 2028,HKD2.88Mn,29-August-2024
Hospital  Authority Head Office,HAHO(S)/T/23-D108,Supply of Calcium Folinate  (Leucovorin Ca) injection 300mg (base),Open,"DCH Auriga (Hong Kong)  Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,1 February 2025 - 31 January 2028,HKD14.97Mn,29-August-2024
Hospital  Authority Head Office,HAHO(S)/T/23-D140,Supply of Cyclosporine  Injection 250mg,Open,"DKSH Hong Kong  Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,28 December 2024 -27 December 2027,HKD4.18Mn,29-August-2024
